"cod produs o";"id produs o";ean;"pret vanzare o";PRP;"TVA o";"Status o";"stoc o";handling_time;lead_time;warranty;start_date;offer_properties;min_sale_price;max_sale_price;"name o";"brand o";"source_language o";description;url;"main_image_url o";other_image_url1;other_image_url2;other_image_url3;other_image_url4;other_image_url5;family_id;family_name;family_type;"Continut set o";"Culoare o";"Tip produs o";"Material o";main_cat_emag
VX287857;50;8719883996523;"926.77 ";"926.77 ";19;1;8;3;;;;;;;"Măsuță de cafea, 100x50x45 cm, lemn reciclat - WOODBB50";vidaXL;ro_RO;"Această măsuță de cafea din lemn, în stil clasic, emană un farmec vintage și aduce o completare mereu la modă interiorului casei dvs.

Această măsuță de cafea este fabricată din MDF și lemn masiv reciclat, care a fost obținut din traverse, podele și grinzi de sprijin din clădirile vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Aceasta înseamnă că lemnul reciclat păstrează caracteristicile diferitelor tipuri de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se îndoaie. Datorită granulației frumoase a lemnului, fiecare piesă de mobilier este unică și ușor diferită de celelalte. În plus, masa de canapea asigură spațiu pentru depozitarea cărților, carnetelor, pixurilor, precum și a diferitelor mărunțișuri. Această masă pentru camera de zi este, de asemenea, ușor de asamblat.

Notă importantă: Culoarea poate varia de la o piesă la alta, făcând fiecare piesă unică. Livrarea este aleatorie.

Culoare: Negru și maro
Material: Lemn masiv reciclat, MDF
Dimensiuni: 100 x 50 x 45 cm (L x l x î)
Cu 1 sertar și 4 rafturi
Asamblare necesară: Da
";https://woodbeback.ro/living/50-masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat-8719883996523.html;https://woodbeback.ro/254-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/255-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/256-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/257-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/258-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/259-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;;;;"Măsuță de cafea";multicolor;Living;"lemn reciclat";Living
VX320671;52;8720286069714;"311.30 ";"311.30 ";19;1;18;3;;;;;;;"Rafturi de perete, 2 buc., 80 cm, lemn reciclat - WOODBB52";vidaXL;ro_RO;"Acest set de 2 rafturi de perete din lemn, în stil industrial, combină perfect stilul și funcționalitatea. Este, de asemenea, o opțiune excelentă pentru a decora orice perete din cameră. Acest set de rafturi de perete este realizat din lemn masiv reciclat, provenit din traverse, podele și grinzi de susținere din clădiri vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Acest lucru înseamnă că lemnul reciclat păstrează caracteristicile acestor tipuri diferite de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se îndoaie. Cadrul din fier negru vopsit electrostatic asigură stabilitatea. Fiecare raft de perete are o capacitate de încărcare de 30 kg.Material: Lemn masiv reciclat, cu finisaj multicolor, fier cu finisaj negru vopsit electrostaticDimensiuni: 80 x 17 x 17 cm (l x ad. x î)Capacitate de încărcare: 30 kgAsamblare necesară: DaPachetul de livrare conține:2 x Raft de perete";https://woodbeback.ro/living/52-rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat-8720286069714.html;https://woodbeback.ro/270-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/271-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/272-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/273-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/274-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/275-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;;;;;multicolor;Living;"lemn reciclat";Living
VX320383;53;8720286110812;"1142.40 ";"1142.40 ";19;0;0;3;;;;;;;"Servantă, 60 x 33 x 75 cm, lemn masiv de acacia/lemn reciclat - WOODBB53";vidaXL;ro_RO;"Dacă doriți să adăugați o notă simplă de farmec rustic decorului dvs. de interior, această servantă din lemn este soluția perfectă! Acest dulap cu uși este fabricat din lemn masiv de acacia și din lemn masiv reciclat. Lemnul reciclat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate. Așadar, este format din diferite tipuri de lemn, cum ar fi pin, tec, stejar, lemn de mango, acacia, etc. Aceasta înseamnă, de asemenea, că lemnul recuperat păstrează caracteristicile acestor tipuri diferite de lemn. Lemnul recuperat este deja învechit, degradat și uscat, deci nu se contractă și nu se curbează. Dulapul lateral este echipat cu 2 compartimente, oferind un spațiu de depozitare amplu pentru a menține bine organizate toate articolele pe care le doriți. Notă importantă: Culorile și granulația lemnului variază de la o piesă la alta, fiecare dintre dulapurile noastre de depozitare fiind unic.Material: Lemn masiv de acacia cu finisaj natural, lemn masiv reciclat cu finisaj naturalDimensiuni totale: 60 x 33 x 75 cm (l x ad. x î)Dimensiuni compartiment: 46 x 29 x 27,5 cm (l x ad. x î)Asamblare necesară: NuAVERTISMENT: Pentru a preveni răsturnarea, acest produs trebuie utilizat împreună cu dispozitivul de prindere pe perete inclusLegal Documents:Mai multe detalii despre prevenirea răsturnării mobilierului tău pot fi găsite aici";https://woodbeback.ro/living/53-servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat-8720286110812.html;https://woodbeback.ro/278-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/279-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/280-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/281-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/282-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;https://woodbeback.ro/283-large_default/servanta-60-x-33-x-75-cm-lemn-masiv-de-acacia-lemn-reciclat.jpg;;;;Servantă;multicolor;Living;"lemn reciclat";Living
VX321711;55;8720286106037;"812.53 ";"812.53 ";19;1;19;3;;;;;;;"Cărucior de bucătărie, 87x36x81 cm, lemn reciclat - WOODBB55";vidaXL;ro_RO;"Acest cărucior de bucătărie adaugă o atmosferă distinctă și rustică și oferă spațiu de depozitare suplimentar casei dumneavoastră. Acest cărucior de bucătărie este realizat din lemn masiv reciclat, provenit din traverse, podele și grinzi de susținere din clădiri vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Acest lucru înseamnă că lemnul reciclat păstrează caracteristicile acestor tipuri diferite de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se curbează. Cadrul din oțel vopsit electrostatic adaugă, de asemenea, robustețe. Acest cărucior de depozitare are 2 compartimente pentru a putea pune la îndemână alimente, sticle și alte elemente esențiale. Datorită designului pliant, căruciorul cu rafturi poate fi depozitat cu ușurință atunci când nu este utilizat. Mai mult, raftul de bucătărie este echipat cu roți flexibile pentru o mutare ușoară. Notă importantă: Culorile variază de la o piesă la alta, fiecare cărucior de bucătărie fiind unic.Material: Lemn masiv reciclat cu finisaj de culoare mixtă, oțel vopsit electrostaticDimensiuni: 87 x 36 x 81 cm (l x ad. x î)Cu un design pliabilAsamblare necesară: Nu";https://woodbeback.ro/living/55-carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat-8720286106037.html;https://woodbeback.ro/294-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/295-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/296-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/297-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/298-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/299-large_default/carucior-de-bucatarie-87x36x81-cm-lemn-masiv-reciclat.jpg;;;;"Cărucior de bucătărie";multicolor;Living;"lemn reciclat";Living
VX321628;56;8720286105207;"245.62 ";"245.62 ";19;1;5;3;;;;;;;"Suport de vin pentru 5 sticle, lemn reciclat - WOODBB56";vidaXL;ro_RO;"Căutați în continuare un mod deosebit de elegant și neobișnuit de a stoca vinul preferat? Acest raft pentru vin din lemn este exact alegerea potrivită. Suportul pentru vin este fabricat din lemn masiv reciclat, provenit din grinzi, podele și bârne de susținere din clădiri vechi demolate. În plus, poate să conțină diferite tipuri de lemn, cum ar fi tec, lemn de esență tare, lemn tropical, palisandru, lemn de mango, lemn de trandafir, etc. Aceasta înseamnă că lemnul recuperat păstrează caracteristicile acestor diferite tipuri de lemn. Lemnul recuperat este deja învechit, erodat și uscat. Prin urmare, nu se micșorează și nu se curbează. Poate susține până la 5 sticle. Fiecare raft este unic datorită granulației lemnului. Raftul de perete funcționează și ca un decor deosebit.Material: Lemn masiv reciclat cu finisaj în culori combinateDimensiuni: 18 x 15 x 70 cm (l x ad. x î)Susține până la 5 sticle";https://woodbeback.ro/living/56-suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat-8720286105207.html;https://woodbeback.ro/302-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/303-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/304-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/305-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/306-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;https://woodbeback.ro/307-large_default/suport-de-vin-pentru-5-sticle-lemn-masiv-reciclat.jpg;;;;"Suport de vin pentru 5 sticle";multicolor;Living;"lemn reciclat";Living
VX323534;57;8720286066874;"931.06 ";"931.06 ";19;1;5;3;;;;;;;"Măsuță de cafea, alb, 68x68x30 cm, lemn reciclat - WOODBB57";vidaXL;ro_RO;"Această masă de cafea unică prezintă un design deosebit, îmbunătățind decorul existent în spațiul dvs. de locuit.

Această masă pentru canapea este fabricată din lemn masiv reciclat și fier. Lemnul reciclat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate. Deci, poate consta din diferite tipuri de lemn, cum ar fi pin, tec, stejar, lemn de mango, acacia, etc. Aceasta înseamnă, de asemenea, că lemnul recuperat păstrează caracteristicile acestor tipuri de esențe. Lemnul recuperat este deja învechit, degradat și uscat, deci nu se contractă și nu se curbează. În plus, baza de fier îi sporește rezistența și stabilitatea. Blatul solid oferă o suprafață stabilă și sigură pentru diferitele obiecte necesare.

Notă importantă: Culoarea și granulația lemnului pot varia de la o piesă la alta, fiecare masă centrală fiind unică.

Material: Lemn masiv reciclat cu finisaj de culoare mixtă, fier cu finisaj alb
Dimensiuni: 68 x 68 x 30 cm (L x l x î)
Asamblare necesară: Nu
";https://woodbeback.ro/living/57-masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat-8720286066874.html;https://woodbeback.ro/310-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/311-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/312-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/313-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/314-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/315-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;;;;"Măsuță de cafea";multicolor;Living;"lemn reciclat";Living
VX241627;60;8718475916031;"544.07 ";"544.07 ";19;1;29;3;;;;;;;"Taburet, lemn reciclat - WOODBB60";vidaXL;ro_RO;"Acest taburet din lemn, în stil antichizat, vă va oferi cu siguranță un confort maxim la ședere. Structura simplă din lemn masiv oferă o rezistență ridicată, în timp ce modelul natural al fibrelor face din fiecare scaun o piesă unică. Acest taburet retro este fabricat din lemn reciclat, astfel încât fiecare piesă de mobilier este unică și ușor diferită de celelalte. Mobilierul realizat din lemn reciclat prezintă caracteristici ale diferitelor tipuri de lemn, precum tec, acacia, lemn de mango, lemn de santal etc. Lemnul reciclat este rezistent, solid, durabil și atrăgător. Găurile cuielor sau fibrele bine definite își spun poveștile din trecut și invită generația următoare să intre în povestea lor. Decorându-vă casa cu acest taburet, veți demonstra atitudinea dvs. față de conservarea resurselor, protecția mediului și dezvoltarea sustenabilă. Măiestria execuției manuale aduce un stil spectaculos de epocă taburetului și vă va desfata cu un stil exotic. Fiecare proces de recombinare, lustruire, vopsire și ceruire este pregătit elaborat. Scaunul antic va fi cu siguranță un element de decor perfect pentru casa dvs! Notă importantă: Culorile pot varia de la o piesă la alta, fiecare scaun de bar fiind unic. Livrarea este aleatorie.Material: Lemn masiv reciclat multicolorDimensiuni totale: 30 x 45 cm (Φ x î)Realizat exclusiv manualLustruit, parțial vopsit și ceruit";https://woodbeback.ro/living/60-taburet-lemn-masiv-reciclat-8718475916031.html;https://woodbeback.ro/334-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/335-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/336-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/337-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/338-large_default/taburet-lemn-masiv-reciclat.jpg;https://woodbeback.ro/339-large_default/taburet-lemn-masiv-reciclat.jpg;;;;Taburet;multicolor;Living;"lemn reciclat";Living
VX243306;63;8718475993940;"1046.72 ";"1046.72 ";19;1;37;3;;;;;;;"Măsuță de cafea, 70 x 70 x 35 cm, lemn reciclat - WOODBB63";vidaXL;ro_RO;"Această măsuță de cafea în stil antichizat, realizată din lemn masiv reciclat, va aduce o completare mereu la modă casei dvs. De asemenea, poate fi folosită ca masă de canapea, masă pentru camera de zi și masă laterală etc. Blatul său din lemn solid formează o suprafață stabilă și sigură pe care puteți așeza băuturi, un coș de fructe, o vază sau alte obiecte decorative, iar datorită celor 4 rotile, aceasta poate fi așezată oriunde doriți, putând fi mutată cu ușurință.

Această măsuță de cafea este realizată din lemn masiv reciclat, ceea ce înseamnă că fiecare piesă de mobilier este unică și ușor diferită față de cealaltă. Mobila realizată din lemn reciclat are caracteristicile mai multor tipuri de lemn, cum ar fi lemnul de tec, de mango și acacia. Lemnul reciclat este solid, stabil, durabil, și frumos. Semnele de uzură și structura texturată vizibilă dau fiecărei piese de mobilier propria sa istorie și un aspect unic.

Măsuța de cafea este realizată exclusiv manual, iar măiestria execuției îmbogățește stilul retro spectaculos. Fiecare pas al procesului de lucru este realizat cu cea mai mare grijă, fie că este vorba de recombinare, lustruire, vopsire sau ceruire.

Notă importantă: Culorile variază de la piesă la piesă, fiecare dintre măsuțele noastre de cafea fiind unică. Livrarea este aleatorie, asigurând exclusivitatea și individualitatea produsului dumneavoastră.

Material: Lemn masiv reciclat
Dimensiuni: 70 x 70 x 35 cm (L x l x î)
Cu 4 roți
Realizat complet manual
Lustruit, vopsit și lăcuit
";https://woodbeback.ro/living/63-masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat-8718475993940.html;https://woodbeback.ro/358-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/359-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/360-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/361-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/362-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/363-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;;;;"Măsuță de cafea";multicolor;Living;"lemn reciclat";Living
VX244230;64;8718475530992;"658.31 ";"658.31 ";19;1;123;3;;;;;;;"Măsuță de cafea, lemn reciclat - WOODBB64";vidaXL;ro_RO;"Această măsuță de cafea din lemn, în stil industrial, are un farmec vintage, fiind o completare mereu la modă pentru locuința dvs. Măsuța de cafea poate fi folosită ca masă pentru canapea, masă pentru camera de zi, masă laterală, noptieră, suport pentru plante sau suport de telefon. Această măsuță de cafea este realizată manual din lemn masiv reciclat, care este solid, durabil și foarte frumos, având caracteristicile diferitelor esențe lemnoase precum lemnul de tec, mango, acacia, lemn reciclat, lemn de esență tare etc. Fiecare pas al procesului de lucru este realizat cu cea mai mare grijă, fie că este vorba de lustruire, vopsire, lăcuire, iar măiestria realizării contribuie la stilul retro spectaculos. Fibrele frumoase ale lemnului fac fiecare piesă de mobilier unică și ușor diferită de cealaltă. Cadrele sunt realizate din fier durabil, adăugând robustețe mesei. Notă: Culorile variază de la piesă la piesă, ceea ce face ca fiecare dintre măsuțele noastre de cafea să fie unică; livrarea este aleatorie.Culoare: MulticolorMaterial: Blat din lemn masiv reciclat + picioare din fier vopsit electrostaticDimensiuni: 60 x 35 cm (diam. x î)Realizat complet manualLustruit și lăcuit";https://woodbeback.ro/living/64-masuta-de-cafea-lemn-masiv-reciclat-8718475530992.html;https://woodbeback.ro/366-large_default/masuta-de-cafea-lemn-masiv-reciclat.jpg;https://woodbeback.ro/367-large_default/masuta-de-cafea-lemn-masiv-reciclat.jpg;https://woodbeback.ro/368-large_default/masuta-de-cafea-lemn-masiv-reciclat.jpg;https://woodbeback.ro/369-large_default/masuta-de-cafea-lemn-masiv-reciclat.jpg;https://woodbeback.ro/370-large_default/masuta-de-cafea-lemn-masiv-reciclat.jpg;https://woodbeback.ro/371-large_default/masuta-de-cafea-lemn-masiv-reciclat.jpg;;;;"Măsuță de cafea";multicolor;Living;"lemn reciclat";Living
VX244672;66;8718475567875;"763.98 ";"763.98 ";19;1;7;3;;;;;;;"Măsuță de cafea, 60x40 cm, lemn reciclat - WOODBB66";vidaXL;ro_RO;"Această măsuță de cafea din lemn, în stil industrial, emană un farmec vintage și va aduce un plus izbitor casei dvs. Măsuța de cafea poate fi folosită și ca măsuță de canapea sau măsuță de capăt. Această masă laterală în stil retro este realizată manual din lemn masiv reciclat, rezistent, durabil și frumos, având caracteristicile unor tipuri diferite de lemn, precum lemnul de tec, mango, acacia etc. Fiecare pas al procesului de execuție este realizat cu cea mai mare grijă, fie că este vorba de lustruire, vopsire sau lăcuire. Datorită măiestriei creației și texturii frumoase a lemnului, fiecare piesă de mobilier este unică și ușor diferită de următoarea. Baza sa rezistentă din oțel vopsit electrostatic contribuie la robustețea mesei. Produsul este deja asamblat; nu necesită montare. Notă importantă: Culorile variază de la o piesă la alta, făcând ca fiecare dintre măsuțele noastre laterale să fie unică. Livrarea este aleatorie, asigurând exclusivitatea și individualitatea produsului dumneavoastră.Material: Blat din lemn masiv reciclat + bază din oțel vopsit electrostaticDimensiuni: 60 x 40 cm (diam. x î)Lustruit, vopsit și lăcuitNu necesită asamblare.";https://woodbeback.ro/living/66-masuta-de-cafea-60x40-cm-lemn-masiv-reciclat-8718475567875.html;https://woodbeback.ro/378-large_default/masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/379-large_default/masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/380-large_default/masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/381-large_default/masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/382-large_default/masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.jpg;https://woodbeback.ro/383-large_default/masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.jpg;;;;"Măsuță de cafea";multicolor;Living;"lemn reciclat";Living
